Batch Number,Batch Row,SKU,Item Name,Customer-facing Name,Reporting Category,Default Vendor Name,Default Vendor Code,Local Image Filename,Local Image Relative Path,Local Image Absolute Path,Website Image URL,Has Local Image,Has Website Image,Has Any Image
1,1,T-50-HM-1-WC,#1 Section for 50HMw/ clamp,#1 Section for 50HMw/clamp,Tucker,Tucker,T-50-HM-1-WC,T-50-HM-1-WC.png,Images\Tucker images\T-50-HM-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-1-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/1-section-for-50hmwclamp-5492087.png?v=1763493563,Y,Y,Y
1,2,T-22-HY-1-WC,#1 Section for BRAVOw/ clamp,#1 Section for BRAVOw/clamp,Tucker,Tucker,T-22-HY-1-WC,T-22-HY-1-WC.png,Images\Tucker images\T-22-HY-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-HY-1-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/1-section-for-bravowclamp-4099845.png?v=1763493564,Y,Y,Y
1,3,T-30-CF-1-WC,#1 Section for ECO 30w/ Clamp,#1 Section for Tucker®-30,Tucker,Tucker,T-30-CF-1-WC,T-30-CF-1-WC.png,Images\Tucker images\T-30-CF-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-CF-1-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/1-section-for-bravowclamp-4099845.png?v=1763493564,Y,Y,Y
1,4,T-40-CF-1-WC,#1 Section for ECO 40w/ Clamp,#1 Section for Tucker-40,Tucker,Tucker,T-40-CF-1-WC,T-40-CF-1-WC.png,Images\Tucker images\T-40-CF-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-1-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/1-section-for-tucker-40-7522122.png?v=1763493564,Y,Y,Y
1,5,T-15-HY-1-WC,#1 Section for Juniorw/ clamp,#1 Section for Juniorw/clamp,Tucker,Tucker,T-15-HY-1-WC,T-15-HY-1-WC.png,Images\Tucker images\T-15-HY-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-15-HY-1-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/1-section-for-juniorwclamp-3882009.png?v=1763493562,Y,Y,Y
1,6,T-12-FG-1-WC,#1 Section for SIDEKICKw/ Clamp,#1 Section for SIDEKICKw/Clamp,Tucker,Tucker,T-12-FG-1-WC,T-12-FG-1-WC.png,Images\Tucker images\T-12-FG-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-12-FG-1-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/1-section-for-sidekickwclamp-9130025.png?v=1763493565,Y,Y,Y
1,7,T-27-CF-1-WC,#1 Section for SOLAR BOOSTw/ Clamp,#1 Section for SOLAR BOOSTw/Clamp,Tucker,Tucker,T-27-CF-1-WC,T-27-CF-1-WC.png,Images\Tucker images\T-27-CF-1-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-CF-1-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/1-section-for-solar-boostwclamp-2353202.png?v=1763493565,Y,Y,Y
1,8,T-CF-EXT-WC,#10 CF Pole Extension with Clamp,Tucker® 50 extension,Tucker,Tucker,T-CF-EXT-WC,T-CF-EXT-WC.png,Images\Tucker images\T-CF-EXT-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-CF-EXT-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/products/tucker-10-modular-extension-176713.jpg?v=1746392649,Y,Y,Y
1,9,T-50-HM-2-WC,#2 Section for 50HMw/ clamp,#2 Section for 50HMw/clamp,Tucker,Tucker,T-50-HM-2-WC,T-50-HM-2-WC.png,Images\Tucker images\T-50-HM-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-2-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/2-section-for-50hmwclamp-3067998.png?v=1763493563,Y,Y,Y
1,10,T-22-HY-2-WC,#2 Section for BRAVOw/ clamp,#2 Section for BRAVOw/clamp,Tucker,Tucker,T-22-HY-2-WC,T-22-HY-2-WC.png,Images\Tucker images\T-22-HY-2-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-HY-2-WC.png,https://cdn.shopify.com/s/files/1/0558/4191/4998/files/2-section-for-tucker-40-4254073.png?v=1763493563,Y,Y,Y
